Country,Name,World6 region,World4 region,Latitude,Longitude
abw,Aruba,america,americas,12.5,-69.96667
afg,Afghanistan,south_asia,asia,33.0,66.0
ago,Angola,sub_saharan_africa,africa,-12.5,18.5
aia,Anguilla,america,americas,18.21667,-63.05
ala,Åland,europe_central_asia,europe,60.25,20.0
alb,Albania,europe_central_asia,europe,41.0,20.0
and,Andorra,europe_central_asia,europe,42.50779,1.52109
are,United Arab Emirates,middle_east_north_africa,asia,23.75,54.5
arg,Argentina,america,americas,-34.0,-64.0
arm,Armenia,europe_central_asia,europe,40.25,45.0
asm,American Samoa,east_asia_pacific,asia,-11.056,-171.082
ata,Antarctica,nan,europe,-90.0,0.0
atg,Antigua and Barbuda,america,americas,17.05,-61.8
aus,Australia,east_asia_pacific,asia,-25.0,135.0
aut,Austria,europe_central_asia,europe,47.33333,13.33333
aze,Azerbaijan,europe_central_asia,europe,40.5,47.5
bdi,Burundi,sub_saharan_africa,africa,-3.5,30.0
bel,Belgium,europe_central_asia,europe,50.75,4.5
ben,Benin,sub_saharan_africa,africa,9.5,2.25
bfa,Burkina Faso,sub_saharan_africa,africa,12.5,-1.66667
bgd,Bangladesh,south_asia,asia,24.0,90.0
bgr,Bulgaria,europe_central_asia,europe,42.66667,25.25
bhr,Bahrain,middle_east_north_africa,asia,26.03333,50.55
bhs,Bahamas,america,americas,25.04082,-77.37122
bih,Bosnia and Herzegovina,europe_central_asia,europe,44.25,17.83333
blr,Belarus,europe_central_asia,europe,53.0,28.0
blz,Belize,america,americas,17.49952,-88.19756
bmu,Bermuda,america,americas,32.2949,-64.78303
bol,Bolivia,america,americas,-17.0,-65.0
bra,Brazil,america,americas,-10.0,-55.0
brb,Barbados,america,americas,13.16667,-59.53333
brn,Brunei,east_asia_pacific,asia,4.5,114.66667
btn,Bhutan,south_asia,asia,27.5,90.5
bwa,Botswana,sub_saharan_africa,africa,-22.0,24.0
caf,Central African Republic,sub_saharan_africa,africa,7.0,21.0
can,Canada,america,americas,60.10867,-113.64258
cck,Cocos Island,east_asia_pacific,asia,-12.1642,96.87332
che,Switzerland,europe_central_asia,europe,47.00016,8.01427
chl,Chile,america,americas,-33.45694,-70.64827
chn,China,east_asia_pacific,asia,35.0,105.0
civ,Cote d'Ivoire,sub_saharan_africa,africa,8.0,-5.5
cmr,Cameroon,sub_saharan_africa,africa,6.0,12.5
cod,"Congo, Dem. Rep.",sub_saharan_africa,africa,-2.5,23.5
cog,"Congo, Rep.",sub_saharan_africa,africa,-1.0,15.5
cok,Cook Is,east_asia_pacific,asia,-21.24842,-159.78516
col,Colombia,america,americas,4.0,-73.25
com,Comoros,sub_saharan_africa,africa,-12.23333,44.44553
cpv,Cape Verde,sub_saharan_africa,africa,16.0,-24.0
cri,Costa Rica,america,americas,10.0,-84.0
