year_received,donor_country,value_usd,gift_description
2009,Mexico,400.0,Book entitled ``The National Palace of Mexico''; red and brown artwork made of Olinal[aacute] lacquer. Rec'd--1/20/ 2009. Est. Value-- $400.00. Disposition-- Archives Foreign.
2009,Japan,1495.0,"Mikimoto desk clock; black basketball jersey. Rec'd--2/24/ 2009. Est. Value-- $1,495.00. Disposition--Archives Foreign."
2009,United Kingdom,16510.0,"Black and gold pen with a wooden pen holder, made from the wood of the HMS Gannet in Chatham; book entitled ``Churchill and America'' by Martin Gilbert; book entitled ``Churchill: A Life'' by Martin Gilbert; book set entitled ``Biography of Winston S. Churchill,'' by Martin Gilbert. Rec'd-- 3/3/2009. Est. Value-- $16,510.00. Disposition--Archives Foreign."
2009,Algeria,500.0,Four boxes of dates and twelve bottles of wine. Rec'd--3/5/2009. Est. Value--$500.00. Disposition--Handled Pursuant to Secret Service Policy.
2009,nan,385.0,Belleek handcrafted basket. Rec'd--3/17/ 2009. Est. Value-- $385.00. Disposition-- Archives Foreign.
2009,Denmark,388.0,Book entitled ``Restoring the Balance''; book entitled ``The Military Balance 2009.'' Rec'd--3/20/ 2009. Est. Value-- $388.00. Disposition-- Archives Foreign.
2009,Russia,415.0,Small wooden CD holder; one book; fifteen compact discs. Rec'd-- 4/1/2009. Est. Value-- $415.00. Disposition-- Archives Foreign.
2009,Germany,760.0,Black leather Montblanc briefcase. Rec'd--4/3/ 2009. Est. Value-- $760.00. Disposition-- Archives Foreign.
2009,Czechia,1460.0,"Gold medal created by the Czech mint featuring an image of President Obama. Rec'd--4/4/2009. Est. Value--$1,460.00. Disposition--Archives Foreign."
2009,Turkey,1550.0,"Two cufflinks made by Sevan Bicakci; blue and silver glass vase. Rec'd--4/6/2009. Est. Value--$1,550.00. Disposition--Archives Foreign."
2009,Iraq,1850.0,"Two handwoven decorative rugs; one framed portrait of a woman wearing a green dress; one framed portrait depicting two women and a man surrounded by birds. Rec'd--4/7/2009. Est. Value--$1,850.00. Disposition--Archives Foreign."
2009,Brazil,520.0,Silver tray with a floral design; ceremonial plaque; four CDs; two informational booklets. Rec'd--4/20/ 2009. Est. Value-- $520.00. Disposition-- Archives Foreign.
2009,Jordan,1265.0,"Six decorative ceremonial weapons presented in a glass case. Rec'd--4/21/ 2009. Est. Value-- $1,265.00. Disposition--Archives Foreign."
2009,Trinidad & Tobago,620.0,Black Bosca leather briefcase; CD entitled ``The Fifth Summit of the Americas 2009''; DVD entitled ``Cepal Publications 2008''; five books about Trinidad and Tobago. Rec'd--4/22/2009. Est. Value--$620.00. Disposition--Archives Foreign.
2009,Israel,8000.0,"Bronze statue of a girl releasing a flock of doves. Rec'd--5/05/ 2009. Est. Value-- $8,000.00. Disposition--Archives Foreign."
2009,Afghanistan,850.0,"Large oval blue lapis bowl, presented in a blue velvet presentation box. Rec'd--5/06/2009. Est. Value--$850.00. Disposition--Archives Foreign."
2009,Tanzania,6000.0,"3[foot] tall handcarved ebony wooden sculpture. Rec'd--5/21/ 2009. Est. Value-- $6,000.00. Disposition--Archives Foreign."
2009,Pakistan,2500.0,"Large cream-colored rug with fringes. Rec'd--5/ 26/2009. Est. Value-- $2,500.00. Disposition--Archives Foreign."
2009,Palestinian Territories,446.0,"25"" x 29"" framed painting of a tree; eight books. Rec'd--5/ 28/2009. Est. Value-- $446.00. Disposition-- Archives Foreign."
2009,Palestinian Territories,75.0,Bottle of olive oil. Rec'd--5/28/2009. Est. Value--$75.00. Disposition--Handled Pursuant to Secret Service Policy.
2009,Germany,600.0,Pair of 18 karat rose gold cufflinks in the shape of shields; Meissen porcelain tray. Rec'd--6/03/ 2009. Est. Value-- $600.00. Disposition-- Archives Foreign.
2009,Saudi Arabia,34500.0,"Large desert scene on a green veined marble base featuring miniature figurines of gold palm trees and camels; large gold medallion with the Royal seal in a green leather display box; large brass and glass clock by Jaeger- LeCoultre in a green leather display case. Rec'd--6/03/2009. Est. Value--$34,500.00. Disposition--Archives Foreign."
2009,Germany,415.0,Meissen tea set with a floral design; book entitled ``Meissen in Meissen.'' Rec'd--6/04/ 2009. Est. Value-- $415.00. Disposition-- Archives Foreign.
2009,Italy,1680.0,"Twelve silk ties. Rec'd--6/15/2009. Est. Value--$1,680.00. Disposition--Archives Foreign."
2009,Russia,400.0,Antique brass Samovar. Rec'd--7/07/2009. Est. Value--$400.00. Disposition--Archives Foreign.
2009,Italy,6000.0,"Large crystal table with an image of the American Flag. Rec'd-- 7/07/2009. Est. Value-- $6,000.00. Disposition--Archives Foreign."
2009,Netherlands,1480.0,"Orange Batavus ``Holland on the Hudson'' bicycle with an extra bike seat. Rec'd--7/09/2009. Est. Value--$1,480.00. Disposition--Archives Foreign."
2009,Vatican City,7905.0,"Gilt framed and matted mosaic depicting St. Peter's Square; decorative gold coin with the inscription ``Benedict XVI Pont Max Anno IV'' with the profile of Pope Benedict the XVI; booklet entitled ``Instruction Dignitas Personae On Certain Bioethical Questions''; book entitled ``Encyclical Letter Caritas in Veritate of the Supreme Pontiff Benedict XVI''; silver keychain. Rec'd--7/10/ 2009. Est. Value-- $7,905.00. Disposition--Archives Foreign."
