Job title,Yearly Salary (USD),Years Work Experience
Research and Instruction Librarian,55000.0,5-7 years
Marketing Specialist,34000.0,2 - 4 years
Program Manager,62000.0,8 - 10 years
Accounting Manager,60000.0,8 - 10 years
Scholarly Publishing Librarian,62000.0,8 - 10 years
Publishing Assistant,33000.0,2 - 4 years
Librarian,50000.0,5-7 years
Systems Analyst,112000.0,21 - 30 years
Senior Accountant,45000.0,21 - 30 years
Office Manager,47500.0,5-7 years
Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000.0,11 - 20 years
Manager of Information Services,100000.0,11 - 20 years
Legal Aid Staff Attorney,52000.0,2 - 4 years
Executive Assistant,85000.0,8 - 10 years
graphic designer,59000.0,21 - 30 years
Senior Manager,98000.0,11 - 20 years
Assistant Director of Academic Advising,54000.0,11 - 20 years
Data Programmer Analyst,74000.0,5-7 years
Program Coordinator & Assistant Editor ,50000.0,5-7 years
Researcher,96000.0,8 - 10 years
Teen Librarian ,44500.0,5-7 years
Communications Specialist,60000.0,11 - 20 years
Program Director,62000.0,5-7 years
Bookkeeper/Billing Manager,48000.0,11 - 20 years
Economist,140000.0,11 - 20 years
Research Engineer,80000.0,5-7 years
Volunteer and Giving Coordinator,39000.0,2 - 4 years
Editor,125000.0,11 - 20 years
Financial Advisor,230000.0,11 - 20 years
Accounting Manager,110000.0,21 - 30 years
Administrative and HR Manager,50000.0,5-7 years
Senior IRB Analyst,68000.0,5-7 years
Reporter,41000.0,2 - 4 years
Senior Administrator ,76000.0,5-7 years
Staff Services Manager II,78000.0,8 - 10 years
Receptionist,37000.0,2 - 4 years
Lead Engineer,100000.0,21 - 30 years
Manager of Data Integrity and Prospect Research,65000.0,5-7 years
Principal Software Engineer,187500.0,8 - 10 years
Intelligence Analyst,110000.0,8 - 10 years
Project Manager,66625.0,8 - 10 years
Mobile developer,144600.0,5-7 years
Product Design Director,200850.0,11 - 20 years
Research and Development Engineer 3,96000.0,5-7 years
Science Teacher (Public High School),53000.0,5-7 years
"Senior Manager, Programmatic",95000.0,8 - 10 years
Managed Services Sales Coordinator,72000.0,11 - 20 years
Water Resources Engineer,106000.0,21 - 30 years
Program Officer,115000.0,5-7 years
Account Supervisor,100500.0,11 - 20 years
Legal Secretary,33200.0,8 - 10 years
Coordinator,52000.0,8 - 10 years
Safety Director,104000.0,41 years or more
Downstream Process Development Research Associate I,52000.0,2 - 4 years
Research Programmer,70000.0,5-7 years
"Manager, Natural Climate Solutions Development",84000.0,5-7 years
AR Manager,53000.0,21 - 30 years
Technical specialist,34000.0,5-7 years
Programming Coordinator,38000.0,5-7 years
City Research Scientist II,87000.0,5-7 years
Project engineer ,122000.0,11 - 20 years
Marketing Coordinator,45000.0,5-7 years
Tech Writer,88000.0,11 - 20 years
Supervisory Archivist,71000.0,11 - 20 years
Program Manager,71000.0,11 - 20 years
High School Teacher at an independent school,75000.0,11 - 20 years
Manager of Market Research and Data,80000.0,21 - 30 years
Senior Business Analyst,125000.0,11 - 20 years
Special Collections Cataloger,65000.0,11 - 20 years
Graphic Designer / Webmaster,55000.0,2 - 4 years
Senior UX Designer,90000.0,11 - 20 years
Senior Engineer ,105000.0,8 - 10 years
Digital Archivist,65000.0,11 - 20 years
Associate Program Manager,85000.0,5-7 years
CSR,39520.0,8 - 10 years
Fuel Efficiency Program Analyst,76000.0,8 - 10 years
Senior Vice President of Marketing,180000.0,31 - 40 years
Accounting Manager,90000.0,5-7 years
Senior Administrative Assistant and Project Specialist,65000.0,31 - 40 years
senior web application developer,98166.0,21 - 30 years
Director of Development,63500.0,5-7 years
Quality Assurance Lead,58.0,21 - 30 years
Program & Administrative Assistant,47700.0,5-7 years
Chief Engineer,87000.0,31 - 40 years
Administrative Support Assistant,39635.0,2 - 4 years
Administrative Officer,53000.0,8 - 10 years
Executive Secretary/Secretary to Board of School Trustees,47255.0,31 - 40 years
Senior Project Manager,196000.0,11 - 20 years
Customer Service Representative,34361.0,21 - 30 years
Senior Device Engineer,150000.0,21 - 30 years
Graphic Designer,75000.0,5-7 years
Graduate Student,20000.0,5-7 years
Senior Financial Analyst,107220.0,8 - 10 years
Professor,95000.0,21 - 30 years
Office Manager,42000.0,21 - 30 years
Finance Manager,100000.0,5-7 years
Medical Education Director,119000.0,11 - 20 years
Associate Director of Donor Relations,75000.0,11 - 20 years
Assistant Professor of Law,145000.0,2 - 4 years
Content Writer,48000.0,5-7 years
Assistant Director of Finance,75000.0,21 - 30 years
Digital Marketing Specialist,42000.0,11 - 20 years
Archivist,54000.0,21 - 30 years
QC Supervisor,60000.0,31 - 40 years
Content Development Manager,101500.0,31 - 40 years
Clinical Research Assistant II,36883.0,2 - 4 years
news editor,85000.0,11 - 20 years
Senior Administrative Assistant ,62000.0,5-7 years
Product Manager,130000.0,11 - 20 years
career services professional,55000.0,21 - 30 years
Project Coordinator,59015.0,8 - 10 years
"Associate Manager, Education",71000.0,5-7 years
Director,53000.0,21 - 30 years
Senior Librarian,63000.0,5-7 years
Project Estimator,95000.0,21 - 30 years
Customer Advocate,35000.0,11 - 20 years
Customer Service Specialist,33280.0,5-7 years
Accounts Payable Manager,56000.0,11 - 20 years
Associate Director,85000.0,11 - 20 years
Editor,62000.0,11 - 20 years
Staff Attorney,74000.0,8 - 10 years
Program Associate,63000.0,5-7 years
Online Sales Support Manager,86000.0,11 - 20 years
Research Technologist,42000.0,11 - 20 years
RIM Manager,114000.0,21 - 30 years
Senior Client Service Representative,73000.0,31 - 40 years
Clinical analyst,100000.0,21 - 30 years
Policy Analyst ,60129.0,2 - 4 years
Research Scientist,135000.0,11 - 20 years
Service Designer,130000.0,11 - 20 years
Librarian,26000.0,2 - 4 years
Senior Accountant,60000.0,5-7 years
Administrative Assistant,37000.0,11 - 20 years
User experience specialist,85000.0,5-7 years
Self-employed writer,45000.0,11 - 20 years
Director of Development,92000.0,8 - 10 years
Production Technician,65000.0,5-7 years
Graphic Designer,35000.0,11 - 20 years
Compliance Officer,74000.0,8 - 10 years
Director of Intelligence,102500.0,5-7 years
Program Analyst,117500.0,8 - 10 years
Coordinator of Survivor Services,70000.0,11 - 20 years
Software Development Manager,140000.0,21 - 30 years
Project Architect,58000.0,11 - 20 years
Brand Consultant,400000.0,11 - 20 years
HR director,61200.0,11 - 20 years
Talent Acquisition Specialist,66000.0,2 - 4 years
technical support specialist,70000.0,8 - 10 years
Communications Specialist,52000.0,5-7 years
CAD Manager,75500.0,21 - 30 years
Content Strategist and Writer,57000.0,8 - 10 years
Associate,83200.0,8 - 10 years
"Manager, Planning",77500.0,2 - 4 years
Fulfillment Expert,31200.0,11 - 20 years
Associate Creative Director,215000.0,11 - 20 years
Administrative Specialist,55000.0,8 - 10 years
Senior Corporate Counsel,220000.0,11 - 20 years
Head of Data & Analytics,100000.0,8 - 10 years
Systems Analyst,80000.0,5-7 years
Associate Director ,63000.0,11 - 20 years
Librarian,52500.0,5-7 years
Lead business controls specialist,94000.0,2 - 4 years
Product Engineer,57000.0,5-7 years
Senior Technical Writer,83000.0,8 - 10 years
Senior Director,90000.0,11 - 20 years
Hotel Sales Manager,66950.0,8 - 10 years
Planner,76000.0,2 - 4 years
Information and Program Manager,70000.0,8 - 10 years
Assistant Professor,60000.0,2 - 4 years
Media and PR,80000.0,11 - 20 years
Technical assistance provider,70000.0,11 - 20 years
Library Specialist,34299.0,8 - 10 years
"Assistant Director, Student Affairs",50000.0,11 - 20 years
Director of Client Services,85000.0,11 - 20 years
Loss prevention manager,87000.0,8 - 10 years
Associate Attorney,125000.0,11 - 20 years
Administrative Associate,55000.0,11 - 20 years
Attorney,275000.0,31 - 40 years
Operations Manager,48500.0,5-7 years
Software engineer,139000.0,11 - 20 years
Paralegal / Legal Assistant,54080.0,11 - 20 years
Manager & Actuary,170000.0,11 - 20 years
Librarian,70000.0,21 - 30 years
Communications Associate,53000.0,5-7 years
Cytotechnologist ,82160.0,11 - 20 years
Onboarding Partner,71000.0,11 - 20 years
Graduate Research Assitant,25700.0,5-7 years
Deputy C-level,105000.0,8 - 10 years
"Librarian, non-supervisory",77000.0,11 - 20 years
Content Strategist,50000.0,11 - 20 years
Public Service Tech,31616.0,5-7 years
EOS,95000.0,11 - 20 years
Data Analyst,62000.0,1 year or less
Sr Associate - Quality Assurance,75000.0,11 - 20 years
High school teacher ,71000.0,5-7 years
Business Analyst,88000.0,21 - 30 years
Assistant to Property Managers,31500.0,8 - 10 years
IT Training Specialist,76000.0,5-7 years
Principal Statistical Programmer,165000.0,21 - 30 years
Reporting Analyst ,45760.0,11 - 20 years
Communications Manager,86000.0,5-7 years
Admissions Advisor,56000.0,8 - 10 years
Business Development Specialist,67000.0,8 - 10 years
Associate,125000.0,5-7 years
Assistant Project Manager,55000.0,5-7 years
Supply chain manager,125000.0,11 - 20 years
RN,60000.0,8 - 10 years
Associate,190000.0,1 year or less
Land Analyst,60320.0,21 - 30 years
Regulatory affairs manager ,125000.0,5-7 years
teacher,94000.0,21 - 30 years
Administrative Assistant,49000.0,11 - 20 years
Director of Development,120000.0,11 - 20 years
Teaching Assistant,28000.0,2 - 4 years
Consultant,135000.0,31 - 40 years
Advancement Accounting Assistant,40575.0,8 - 10 years
Senior monitoring & evaluation adviser ,75500.0,8 - 10 years
Copy supervisor,115000.0,5-7 years
Policy analyst ,70000.0,8 - 10 years
Visual Designer,110000.0,5-7 years
Engineering Student Trainee,29000.0,1 year or less
Graphic Designer,61000.0,31 - 40 years
Information Technology Specialist,47250.0,11 - 20 years
Sr. Piping Designer,96000.0,11 - 20 years
Digital Marketing Specialist,45000.0,11 - 20 years
Senior Program Support Associate,72000.0,2 - 4 years
Editor,78167.0,5-7 years
Senior Operations Manager,132500.0,8 - 10 years
"IT Manager, Financial Systems",124000.0,21 - 30 years
Sr Analytic Consultant,108000.0,21 - 30 years
Principal Consultant ,110000.0,11 - 20 years
"Assistant director, communications",83000.0,11 - 20 years
Geostructural Design Engineer,110000.0,8 - 10 years
Student Success Center Coordinator,45000.0,5-7 years
Editor,91000.0,11 - 20 years
QC Chemistry Manager,117000.0,11 - 20 years
Supervisor ,59000.0,21 - 30 years
Research administrator ,71697.0,8 - 10 years
Senior Property Manager,90000.0,31 - 40 years
Director of Alumni Communications,120000.0,11 - 20 years
Admin Assistant,52000.0,5-7 years
Executive Administrator ,80000.0,21 - 30 years
HR Business Partner,56000.0,8 - 10 years
Product Support Representative,47840.0,21 - 30 years
Senior Hazard Mitigation Manager,150000.0,21 - 30 years
Senior Manager of Customer Enablement,150000.0,21 - 30 years
Senior Consultant,105000.0,21 - 30 years
Equity Analyst,100000.0,2 - 4 years
Project Manager-Tech Lead,97500.0,11 - 20 years
Operations,100000.0,5-7 years
Senior Project Specialist,125000.0,21 - 30 years
Public Library Director,63000.0,11 - 20 years
Principal Investigator,79000.0,11 - 20 years
Museum Technician,52000.0,5-7 years
Economist,109000.0,5-7 years
editor,120000.0,21 - 30 years
Managing Librarian,70000.0,11 - 20 years
"Manager of cGMP Manufacturing, QA, and QC",110000.0,11 - 20 years
Accountant ,45000.0,1 year or less
Senior Director of Public Policy,70000.0,8 - 10 years
Talent Management Manager,115000.0,5-7 years
Research assistant,17000.0,11 - 20 years
Analyst ,64000.0,5-7 years
Accounting Manager,66000.0,31 - 40 years
Quality Manager ,80000.0,21 - 30 years
Policy Analyst,78000.0,5-7 years
Attorney,65000.0,2 - 4 years
RN,110000.0,41 years or more
Bookkeeper self-employed,114400.0,21 - 30 years
Senior Recruiter,111500.0,11 - 20 years
Assistant Director of Undergraduate Admissions,58300.0,5-7 years
Software Engineer,156000.0,21 - 30 years
Agile Coach,130000.0,11 - 20 years
Children's Librarian,75000.0,8 - 10 years
principle product marketing manager,126000.0,11 - 20 years
Sr. Environmental Manager,125000.0,21 - 30 years
Executive Office & Admin Specialist,38480.0,11 - 20 years
Early Intervention developmental specialist,36000.0,11 - 20 years
Grants coordinator,55000.0,8 - 10 years
Account Executive,53500.0,8 - 10 years
Youth Services Librarian,49600.0,8 - 10 years
Associate Director of Annual Giving,50000.0,8 - 10 years
Cash Logistics Manager,57750.0,11 - 20 years
Social Worker / Child Development Specialist,62000.0,11 - 20 years
Legislative Analyst,65000.0,8 - 10 years
Medical Receptionist,43680.0,5-7 years
Technology Senior Business Analyst,103000.0,5-7 years
Senior Marketing Specialist,65000.0,8 - 10 years
High School counselor ,75000.0,21 - 30 years
Developer,72500.0,5-7 years
"Group Leader, Crop Protection Environmental and Human Safety",86000.0,11 - 20 years
Energy Specialist,75000.0,11 - 20 years
Editor (Books),38000.0,8 - 10 years
Medical Social Worker,63000.0,8 - 10 years
Children's Librarian,39000.0,11 - 20 years
Payroll Manager,105000.0,11 - 20 years
Shop Coordinator,53000.0,21 - 30 years
Senior user experience researcher,179000.0,11 - 20 years
Freelance content writer/copy editor,77000.0,21 - 30 years
Production Editor ,55000.0,11 - 20 years
Salesforce Administrator ,64200.0,5-7 years
Account Manager,43500.0,21 - 30 years
Engineer,92000.0,5-7 years
Assistant General Counsel,170000.0,21 - 30 years
Proposal Manager,87938.0,21 - 30 years
Pharmacist,125000.0,5-7 years
"IT Director, Project Management ",186000.0,31 - 40 years
Production Editor,51000.0,5-7 years
Staff Accountant,61800.0,8 - 10 years
"SVP, risk management",155000.0,8 - 10 years
Product Coordinator,40000.0,11 - 20 years
Statistical Analyst,71750.0,8 - 10 years
Sales Account Manager,70000.0,8 - 10 years
Managing Consultant,87000.0,21 - 30 years
Program Manager,157000.0,21 - 30 years
Assistant ,65000.0,5-7 years
Senior research assistant,42120.0,2 - 4 years
Research Associate,65000.0,5-7 years
Community Support Manager,85000.0,8 - 10 years
Junior Project Manager,86000.0,8 - 10 years
Business Analyst,85000.0,11 - 20 years
teacher,94000.0,21 - 30 years
Software Development Project Manager,104000.0,21 - 30 years
Human Resources Manager,88000.0,8 - 10 years
Program Assistant ,52000.0,11 - 20 years
Programmer Analyst 2,65000.0,8 - 10 years
Sr development Manager,175000.0,21 - 30 years
Consultant,134000.0,8 - 10 years
Controller,98500.0,21 - 30 years
Registered behavior technician ,43000.0,8 - 10 years
Office Administrator ,36712.0,11 - 20 years
Software Engineer,112000.0,11 - 20 years
Compliance Manager,85000.0,11 - 20 years
Speech-Language Pathologist,60000.0,8 - 10 years
Transcriptionist,50000.0,11 - 20 years
Disease Intervention Specialist,52000.0,2 - 4 years
Lead Planner,57000.0,5-7 years
Internal Auditor ,51000.0,5-7 years
CPA,54000.0,5-7 years
Director of Distance Education,56000.0,8 - 10 years
Assistant Professor,56000.0,2 - 4 years
Program Coordinator,39000.0,2 - 4 years
Billing & Accounts Receivable Coordinator ,40000.0,8 - 10 years
"Director, Learning Content & Training",68000.0,11 - 20 years
Branch Manager,65000.0,11 - 20 years
Program Manager,67000.0,8 - 10 years
program analyst,126000.0,8 - 10 years
Planning analyst,75000.0,5-7 years
Representative,50000.0,11 - 20 years
Clinical Pharmacist ,146000.0,11 - 20 years
Senior Engineer,100000.0,8 - 10 years
Project Manager,52000.0,11 - 20 years
Senior Associate,135000.0,8 - 10 years
Technical Project Manager,131000.0,8 - 10 years
Special Projects Manager,64000.0,21 - 30 years
Senior employee communications specialist,61800.0,5-7 years
Library Assistant,49000.0,2 - 4 years
Customer Support Representative ,38800.0,11 - 20 years
Financial Administrator,50000.0,11 - 20 years
Marketing Specialist,70000.0,8 - 10 years
Public Health Advisor,126000.0,31 - 40 years
Archivist,107000.0,8 - 10 years
Customer Experience Manager ,31500.0,8 - 10 years
Technical Sales Manager,80000.0,11 - 20 years
Management Consultant,105000.0,8 - 10 years
Counsel,120000.0,11 - 20 years
Programmer Analyst,82000.0,11 - 20 years
Client Service Manager,90000.0,11 - 20 years
Sales,65000.0,11 - 20 years
Instructional designer,80000.0,21 - 30 years
Technical Services Team Lead,60000.0,11 - 20 years
Proposal Manager,180000.0,8 - 10 years
Business Architect,157029.0,11 - 20 years
Backend Elixir Engineer,120000.0,11 - 20 years
Senior Digital Content Manager,82000.0,8 - 10 years
HR Manager,83500.0,11 - 20 years
Prospect Researcher,44500.0,2 - 4 years
Packaging Dept Supervisor,58240.0,5-7 years
Director of Engagement and Annual Giving,107500.0,11 - 20 years
Assistant Deputy Director,155000.0,11 - 20 years
HR Manager,82400.0,8 - 10 years
QA Analyst IT,65000.0,5-7 years
Media Planner - Paid Social,82500.0,5-7 years
Assistant Fabrication Manager,34000.0,8 - 10 years
Customer Support Representative,45000.0,2 - 4 years
Brand Manager,140000.0,11 - 20 years
Product Manager,201000.0,8 - 10 years
Engineering Manager,210000.0,11 - 20 years
Customer Success Manager,115000.0,11 - 20 years
Software Engineer,80000.0,1 year or less
Instructional design librarian,58800.0,5-7 years
Instructional Systems Specialist,101360.0,8 - 10 years
IT Specialist I,103000.0,21 - 30 years
"Director, Corporate Communications ",170000.0,21 - 30 years
Managing Editor,80000.0,2 - 4 years
Historian,66805.0,8 - 10 years
Senior Talent Acquisition Consultant,90000.0,11 - 20 years
Assistant director ,117000.0,11 - 20 years
Staff Therapist,45000.0,5-7 years
Systems Librarian,54000.0,1 year or less
Adult Services Librarian,33280.0,5-7 years
Assistant Technology Coordinator,36000.0,5-7 years
Chemist,58000.0,11 - 20 years
Project Manager Specialist,165000.0,11 - 20 years
Sr. Database Analyst,102000.0,21 - 30 years
Senior manufacturing engineer,136000.0,21 - 30 years
Director,110000.0,11 - 20 years
Senior Development Manager,72100.0,8 - 10 years
Accounting Manager,75000.0,21 - 30 years
Finance assistant,37024.0,5-7 years
Associate of Talent Management and Culture,55000.0,5-7 years
Email Marketing Director,78000.0,11 - 20 years
Publicity Coordinator,50000.0,5-7 years
HR Business Partner,145000.0,21 - 30 years
Controller,100000.0,21 - 30 years
Senior Research Analyst,64800.0,5-7 years
Senior Research Analyst,70600.0,5-7 years
Executive Assistant,65000.0,11 - 20 years
Senior Manager,75000.0,5-7 years
Internal communications specialist,75000.0,11 - 20 years
Reporter,40000.0,11 - 20 years
Operations Manager ,47840.0,11 - 20 years
Director of Donor Relations,92000.0,11 - 20 years
State Librarian & Associate Vice Chancellor for Libraries,165000.0,31 - 40 years
Word Processor,39917.0,31 - 40 years
9-12 grade teacher,53000.0,11 - 20 years
Advocacy and Grassroot Specialist,59400.0,2 - 4 years
Quality Engineer,54075.0,1 year or less
Budget Analyst,53895.0,2 - 4 years
Sales Operations,76000.0,11 - 20 years
Engineer in Training (Civil),67080.0,2 - 4 years
Business Systems Manager ,115000.0,21 - 30 years
"Assistant Director, Data Integrity",72000.0,8 - 10 years
Content Development Manager ,71400.0,8 - 10 years
Inside Sales - Projects,64000.0,5-7 years
Senior Tax/Fixed Asset Specialist,53000.0,21 - 30 years
Senior Editor,72000.0,21 - 30 years
Senior Software Engineer ,120000.0,21 - 30 years
Deputy Director,103500.0,11 - 20 years
Director of Accounting,139000.0,11 - 20 years
Program Coordinator,38110.0,5-7 years
"Manager, Production",90000.0,11 - 20 years
paralegal,53000.0,8 - 10 years
"Manager, Reporting and Analytics",117000.0,11 - 20 years
Account Manager ,100000.0,11 - 20 years
Project Assistant,52000.0,11 - 20 years
HR Coordinator,40000.0,5-7 years
Office Operations Associate,32000.0,2 - 4 years
HR Project Associate,60500.0,5-7 years
Civil Engineer,87000.0,5-7 years
Data Engineer,95000.0,8 - 10 years
Flight Test Engineer,89000.0,2 - 4 years
Program Director,70000.0,11 - 20 years
Arts Producer,72000.0,8 - 10 years
Tax Manager,78400.0,11 - 20 years
Member Financial Transaction Services ,50000.0,5-7 years
Consultant,90000.0,11 - 20 years
Director of Student Life,73000.0,11 - 20 years
Assistant Director,90000.0,21 - 30 years
Postdoctoral Lecturer,70000.0,1 year or less
Materials Engineer,118000.0,11 - 20 years
Attorney,80000.0,8 - 10 years
Director of Operations,153000.0,11 - 20 years
Pretreatment Manager,107000.0,41 years or more
Editorial Director,119000.0,11 - 20 years
Case Manager ,40000.0,5-7 years
Quality Specialist,66900.0,21 - 30 years
Program Officer,58000.0,8 - 10 years
Corporate Social Responsibility Coordinator,60000.0,5-7 years
Project Manager,65000.0,8 - 10 years
Meeting and Event Manager,52000.0,11 - 20 years
Product Manager,85000.0,5-7 years
Chief Financial Officer,140000.0,11 - 20 years
Staff Accountant,53000.0,11 - 20 years
Program Specialist III,42000.0,2 - 4 years
Embedded Software Engineer,80000.0,2 - 4 years
