Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1875,-15.6,-19.7,-25.9,-14.7,-9.6,-0.4,4.7,2.9,-0.1,-4.5,-5.5,-14.0
1876,-24.5,-21.2,-20.8,-14.9,-6.3,0.9,3.9,2.4,3.2,-6.2,-9.4,-14.4
1877,-21.1,-26.5,-17.8,-12.0,-1.7,1.4,4.6,5.2,3.0,-2.8,-10.0,-19.2
1878,-22.9,-26.9,-19.6,-13.0,-5.6,1.9,3.2,4.3,-0.9,-4.0,-2.0,-3.7
1879,-13.5,-25.4,-21.3,-13.0,-2.7,0.0,5.2,5.8,-1.1,-5.5,-8.2,-16.5
1880,-22.6,-28.9,-22.7,-10.7,-3.1,2.2,5.6,2.9,0.8,-0.3,-9.4,-14.6
1881,-13.6,-19.9,-26.4,-12.8,-3.1,1.3,5.3,4.2,0.4,-2.8,-9.4,-17.5
1882,-27.6,-25.6,-24.9,-14.8,-3.2,3.1,3.3,4.1,1.0,-6.1,-12.1,-17.1
1883,-19.9,-21.5,-12.7,-12.8,-1.9,3.0,6.2,4.4,2.2,-4.1,-8.9,-21.1
1884,-26.1,-24.9,-22.7,-13.6,-6.4,1.6,5.1,3.2,-1.6,-5.1,-11.8,-20.7
1885,-15.9,-18.3,-23.0,-12.8,-2.0,-0.4,5.2,5.2,-0.8,-4.6,-13.2,-18.5
1886,-24.2,-25.2,-23.7,-18.4,-2.8,1.2,5.3,4.2,0.5,-6.3,-11.9,-18.6
1887,-25.5,-28.8,-28.5,-21.0,-7.1,1.4,4.8,4.2,-0.4,-3.9,-11.4,-19.7
1888,-20.4,-22.6,-22.1,-15.9,-7.0,2.9,7.9,7.3,0.5,-5.0,-9.2,-21.9
1889,-26.9,-18.9,-23.9,-14.7,-4.4,1.0,4.9,3.3,0.9,-3.9,-14.3,-22.9
1890,-21.6,-24.2,-25.4,-16.9,-1.9,1.9,4.8,3.7,-0.3,-4.2,-11.2,-15.6
1891,-21.3,-30.8,-22.2,-17.2,-2.6,2.5,4.0,5.3,-1.0,0.0,-11.1,-20.7
1892,-20.0,-18.8,-25.3,-16.3,-4.9,3.1,4.4,5.1,-0.1,-0.8,-9.2,-14.2
1893,-17.2,-20.8,-21.8,-15.5,-6.5,1.9,5.0,6.5,2.7,-2.7,-7.9,-17.3
1894,-24.2,-29.1,-25.8,-17.3,-3.2,-0.9,5.3,4.8,0.3,-2.9,-11.8,-19.7
1895,-14.5,-12.9,-20.4,-14.2,-6.1,1.3,5.6,4.7,-0.9,-2.8,-10.1,-16.6
1896,-26.4,-29.7,-27.3,-20.3,-7.6,2.0,5.1,6.7,2.3,-1.1,-10.9,-13.9
1897,-22.9,-29.6,-20.2,-15.2,-4.7,1.8,5.8,5.2,0.3,-3.7,-10.4,-17.5
1898,-25.5,-29.3,0.0,0.0,-3.8,2.4,3.5,3.6,0.1,-2.5,-14.8,-25.3
1899,-21.8,-24.1,0.0,-9.6,-3.1,2.0,4.7,5.2,0.8,-5.1,-12.1,-16.6
1900,-19.3,-11.5,-14.2,-16.4,-1.7,4.3,6.4,5.9,0.1,-4.7,-10.3,-20.8
1901,-22.0,-17.1,-17.4,-15.1,-4.9,1.2,3.9,4.0,0.8,-5.7,-8.2,-15.6
1902,-23.6,-19.7,-23.4,-11.2,-3.1,3.6,6.6,7.3,0.7,-2.7,-8.0,-18.4
1903,-18.9,-25.4,-23.3,-12.2,-4.1,1.7,4.5,3.5,1.3,-1.8,-9.0,-10.6
1904,-26.0,-24.3,-21.8,-16.9,-2.0,1.1,5.4,7.3,1.0,-7.5,-10.9,-15.2
1905,-24.4,-24.5,-16.3,-6.0,-2.9,1.4,5.1,5.6,0.0,-3.9,-6.9,-18.2
1906,-24.9,-25.8,-22.3,-16.4,-2.9,1.1,5.5,8.5,2.0,-4.9,-10.8,-15.5
1907,-26.2,-25.2,-25.4,-17.3,-6.2,1.6,5.3,5.7,1.4,-1.1,-11.2,-14.4
1908,-20.7,-23.5,-15.9,-9.4,-3.5,2.0,8.5,4.6,2.3,-4.6,-10.3,-17.6
1909,-27.0,-20.1,-14.8,-12.2,-1.4,2.9,4.9,4.9,2.4,-4.9,-7.3,-22.0
1910,-27.4,-26.8,-22.9,-13.9,-3.2,1.1,4.3,8.5,1.5,-4.4,-8.3,-16.9
1911,-23.2,-27.6,-19.9,-11.4,-4.3,2.3,5.8,4.8,1.0,-2.2,-8.7,-18.2
1912,-17.7,-14.6,-20.7,-9.3,-3.1,3.8,4.6,5.4,1.8,-5.1,-8.5,-14.5
1913,-18.9,-15.9,-23.2,-15.6,-4.6,3.4,4.7,3.8,0.7,-2.8,-14.8,-18.7
1914,-24.0,-26.7,-20.7,-15.4,-5.5,-0.8,3.8,4.2,0.1,-4.3,-11.1,-18.6
1915,-23.5,-24.8,-22.3,-16.2,-0.8,2.5,4.1,4.6,3.7,-2.9,-6.7,-12.2
1916,-19.9,-18.8,-7.9,-18.2,-0.1,1.1,3.0,5.6,1.3,-5.9,-8.7,-15.5
1917,-7.9,-12.0,-18.8,-16.0,-7.9,0.8,6.4,5.4,-0.4,-7.7,-16.0,-21.4
1918,-27.7,-23.4,-21.3,-17.0,-2.8,-0.3,4.1,4.4,2.1,-5.2,-15.2,-20.0
1919,-23.2,-23.9,-18.5,-19.8,-2.1,0.2,4.1,3.6,0.2,-1.2,-5.2,-12.0
1920,-25.3,-22.8,-23.7,-10.2,-4.5,2.0,4.5,4.5,0.9,-5.1,-13.2,-17.8
1921,-21.9,-24.8,-23.9,-16.2,-2.6,1.9,5.2,5.0,0.0,-4.9,-6.5,-17.3
